"mws_the-last-man_1" "mws_the-last-man_2" "mws_the-last-man_3" "mws_the-last-man_4" "mws_the-last-man_5" "mws_the-last-man_6" "mws_the-last-man_7" "mws_the-last-man_8" "mws_the-last-man_9" "mws_the-last-man_10" "mws_the-last-man_11" "mws_the-last-man_12" "mws_the-last-man_13" "mws_the-last-man_14" "mws_the-last-man_15" "mws_the-last-man_16" "mws_the-last-man_17" "mws_the-last-man_18" "mws_the-last-man_19" "mws_the-last-man_20" "mws_the-last-man_21" "mws_the-last-man_22" "mws_the-last-man_23" "mws_the-last-man_24" "mws_the-last-man_25" "mws_the-last-man_26" "mws_the-last-man_27" "mws_the-last-man_28" "mws_the-last-man_29" "mws_the-last-man_30" "mws_the-last-man_31" "mws_the-last-man_32" "mws_the-last-man_33" "mws_the-last-man_34" "mws_the-last-man_35" "mws_the-last-man_36" "mws_the-last-man_37" "mws_the-last-man_38" "mws_the-last-man_39" "mws_the-last-man_40" "mws_the-last-man_41" "mws_the-last-man_42" "mws_the-last-man_43" "mws_the-last-man_44" "mws_the-last-man_45" "mws_the-last-man_46" "mws_the-last-man_47" "mws_the-last-man_48" "mws_the-last-man_49" "mws_the-last-man_50" "mws_the-last-man_51" "mws_the-last-man_52" "mws_the-last-man_53" "mws_the-last-man_54" "mws_the-last-man_55" "mws_the-last-man_56" "mws_the-last-man_57" "mws_the-last-man_58" "mws_the-last-man_59" "mws_the-last-man_60" "mws_the-last-man_61" "mws_the-last-man_62" "mws_the-last-man_63" "mws_the-last-man_64" "mws_the-last-man_65" "mws_the-last-man_66" "mws_the-last-man_67" "mws_the-last-man_68" "mws_the-last-man_69" "mws_the-last-man_70" "mws_the-last-man_71" "mws_the-last-man_72" "mws_the-last-man_73" "mws_the-last-man_74" "mws_the-last-man_75" "mws_the-last-man_76" "mws_the-last-man_77" "mws_the-last-man_78" "mws_the-last-man_79" "mws_the-last-man_80" "mws_the-last-man_81" "mws_the-last-man_82" "mws_the-last-man_83" "mws_the-last-man_84" "mws_the-last-man_85" "mws_the-last-man_86" "mws_the-last-man_87" "mws_the-last-man_88" "mws_the-last-man_89" "mws_the-last-man_90" "mws_the-last-man_91" "mws_the-last-man_92" "mws_the-last-man_93" "mws_the-last-man_94" "mws_the-last-man_95" "mws_the-last-man_96" "mws_the-last-man_97" "mws_the-last-man_98" "mws_the-last-man_99" "mws_the-last-man_100" "mws_the-last-man_101" "mws_the-last-man_102" "mws_the-last-man_103" "mws_the-last-man_104" "mws_the-last-man_105" "mws_the-last-man_106" "mws_the-last-man_107" "mws_the-last-man_108" "mws_the-last-man_109" "mws_the-last-man_110" "pbs_st-irvyne_1" "pbs_st-irvyne_2" "pbs_st-irvyne_3" "pbs_st-irvyne_4" "pbs_st-irvyne_5" "pbs_st-irvyne_6" "pbs_st-irvyne_7" "pbs_st-irvyne_8" "pbs_st-irvyne_9" "pbs_st-irvyne_10" "pbs_st-irvyne_11" "pbs_st-irvyne_12" "pbs_st-irvyne_13" "pbs_st-irvyne_14" "pbs_st-irvyne_15" "pbs_st-irvyne_16" "pbs_st-irvyne_17" "pbs_st-irvyne_18" "pbs_st-irvyne_19" "pbs_zastrozzi_1" "pbs_zastrozzi_2" "pbs_zastrozzi_3" "pbs_zastrozzi_4" "pbs_zastrozzi_5" "pbs_zastrozzi_6" "pbs_zastrozzi_7" "pbs_zastrozzi_8" "pbs_zastrozzi_9" "pbs_zastrozzi_10" "pbs_zastrozzi_11" "pbs_zastrozzi_12" "pbs_zastrozzi_13" "pbs_zastrozzi_14" "pbs_zastrozzi_15" "pbs_zastrozzi_16" "pbs_zastrozzi_17" "pbs_zastrozzi_18" "pbs_zastrozzi_19"
"the" 6.9375 5.8125 5.5 5.0625 5.1875 5 5.1875 5.1875 7.6875 7.0625 4.9375 3.5625 5.5 6.8125 4.0625 4.5 5.3125 6.3125 5.25 3.9375 5.125 3.625 5 6.0625 5.6875 5.625 5.875 5.8125 5.1875 4.4375 6.875 4.8125 5.0625 4 6.9375 4.5625 5.5 6.3125 6.875 8.1875 7.375 9.0625 8.1875 7.125 8.4375 6.875 7.75 6.1875 6.6875 6.4375 8.5625 9.4375 8.5625 8.375 8.9375 7 6.25 5.9375 7.1875 6 6.875 7.875 8.375 8.4375 6.3125 9.1875 7.4375 5.6875 8.375 7.75 6.4375 6.8125 8.3125 6.8125 8.9375 4.9375 7.0625 3.9375 3.6875 5.6875 4.9375 3.8125 7.5625 7.6875 6.9375 6.0625 10.1875 8.25 8.125 6.5625 5.625 6.25 5.4375 7 6.6875 6.875 4.9375 7 7.25 7.375 8.1875 4.75 8.25 7.9375 7.6875 6.375 6.5 6.1875 8 5.875 9.1875 8.5 5.9375 8.875 7.75 6.125 6.6875 5.75 4.9375 5.8125 8.3125 6.8125 6.0625 5.75 6.5 5.6875 5.875 4.3125 5.1875 6.875 6.75 5.875 5.875 5.9375 4.9375 5.125 5.5 3.25 4.5 6.875 4.625 7 3.5625 5.5625 6.5625 5.4375 6.5625 5.875
"of" 4.125 4.8125 4.625 4.25 3.625 3.625 4.625 4.3125 4.9375 5.125 3.375 2.375 3.625 4 2.4375 3.375 4.4375 5.4375 3.0625 2.625 3.3125 3.125 3.375 4.5 3.6875 3.75 5.1875 5.3125 3.375 5.25 4.0625 2.5625 3.8125 3.0625 5.25 2.75 4.125 3.8125 4.9375 4 4.875 4.25 3.9375 4.4375 4.8125 4.0625 3.5625 4.4375 3.9375 3.375 5 5.125 4.5625 4.3125 6 4.6875 3.0625 3.625 4.875 3.8125 4 4.0625 4.3125 4.625 3.1875 4.6875 4.1875 5 5.125 4.0625 4.5 3.9375 4 5.0625 4.5625 4 3.4375 2.4375 2.375 3.5625 4.375 2.6875 3.1875 3.5625 3.5625 3.3125 4.3125 4.9375 4.25 4.8125 4.125 3.8125 3.9375 5.5 4.0625 4.125 3.8125 3.5625 4.25 4.4375 4.1875 3.375 3.5 3.1875 4.4375 4.125 3.5625 3.3125 4.5625 3.9375 4.625 4.125 3.375 4.8125 2.8125 3.4375 4.5625 4.25 3.125 3.9375 4.8125 4.125 3.375 4.375 3.75 4.125 4.6875 3.125 3.6875 3.0625 2.8125 1.9375 2.8125 3 2.4375 2.6875 2.875 3.0625 3.625 3.5 3.375 2.75 3.25 3.25 3.25 3.5 2.8125 3.6875
"and" 3.75 4.5 4.25 4.375 3.3125 3.75 4.125 4.125 2.9375 3.625 3.9375 4 3.8125 4.3125 3.375 3.25 4.5625 4.0625 3 3.9375 5 3.8125 3.4375 3.25 3.125 2.625 3.4375 3.5625 2.625 3.5 2.3125 4.75 2.6875 3.0625 3.125 3.625 3.8125 3.625 3.3125 3.25 3.1875 3.9375 3.5625 3.4375 3.0625 3.0625 3.1875 2.6875 3.75 3.5 4.875 3.3125 3.375 3.6875 3.375 2.5625 2.875 3.8125 2.75 3.5625 4.1875 3.375 5.0625 4.1875 3.4375 2.625 3.6875 3.25 3.4375 4.0625 3.5 4.25 2.875 3.9375 4.1875 4.625 3.3125 3.0625 3.8125 4 3.8125 4.375 3.0625 3.25 3.625 3.6875 2.9375 2.875 3.25 3.9375 3.875 3.3125 2.875 3.0625 3.25 3.3125 2.8125 3.3125 3.3125 3.75 3.6875 4.4375 4 3.625 3.5 2.9375 2.9375 3.3125 3.375 4.0625 3.0625 3 2.3125 2.4375 4.25 2.6875 2.875 2.875 2.3125 1.75 2.6875 2.5 3.0625 2.9375 1.8125 2.8125 2.875 2.875 2.625 2.8125 2.5625 2.8125 3 2.125 2.3125 2.6875 2.9375 2.3125 2.3125 2.875 2.875 2.5625 1.9375 2.125 2.625 2.8125 2.4375 2.8125
"to" 2.375 3.375 2.3125 3.625 3.0625 3.5625 3.375 3 2.6875 3.125 2.8125 3.4375 3.4375 3.3125 2.5625 3.375 2.375 2.3125 2.8125 4 2.9375 3.875 3.875 3.5625 3.8125 3.1875 3.375 3.1875 2.125 2.6875 3.875 2.75 3.5 4 3.625 3.5625 4 2.4375 3.1875 2.125 3.625 2.625 2.5625 3.0625 2.6875 3.1875 2.1875 3.375 3 3.0625 2.1875 2.625 2.1875 2.75 2.5 3.0625 2.3125 3 2.6875 3.5 3.25 2.125 2.25 2.375 2.75 3.0625 3.1875 3.5 2.8125 2.375 2.625 3.6875 1.25 2.125 3.5 3.375 3 2.875 2.3125 2.125 2.9375 3.4375 2.8125 2.5625 2.875 3.8125 2.75 2.875 2.875 3 4.25 3.6875 2.1875 3.75 3.375 2.3125 3.5 2.6875 2.4375 2.5 2.5625 2.5 2.1875 2.375 2.625 2.4375 2.3125 2.25 2.4375 3.0625 2.1875 2.375 4 3.0625 2.8125 3.75 3.3125 3.125 2.875 2.5625 2.6875 2.625 2.9375 3.25 2.5625 2.1875 2.5 3 1.875 2.75 3.1875 2.4375 1.6875 3.3125 3.8125 2.75 2.125 2.75 2.75 2.25 2.5 2.125 2.625 2 2.375 3 2.3125 2
"i" 0.9375 0.375 1.875 2.4375 3.5625 2.75 1.75 1.125 1.9375 0.625 1.5625 2.875 3.4375 0.875 3.4375 2.5 1.375 3.4375 2.125 2.9375 0.75 2 0.625 0.375 0.4375 1 0.125 0.1875 2.1875 0.3125 0.9375 0.5 2.875 2.6875 0.6875 3.25 1.375 1.4375 0.375 1.4375 0.6875 1.625 2.625 2.125 1.3125 3.375 3.375 1.4375 2.375 2.8125 1.0625 0.5 0.5625 0.5625 0 1.625 1.125 2.6875 3.0625 2.8125 3 1.3125 0.5625 0.8125 1.1875 1.625 1.1875 1.3125 0.0625 0.1875 0.8125 1.75 1.6875 0.5 0.375 0.625 1.375 1.0625 4.125 1.5 1.25 2.25 3.3125 2.9375 2.9375 1.5 0.0625 0 0.6875 0.625 0.9375 3.25 1.9375 1 2.5 0.25 1.125 1 0.125 0.4375 0.0625 0.8125 0.6875 2.3125 4.25 4.1875 5.125 3.875 3.8125 3.9375 0.5 0.25 0.1875 1 0.625 1 0 0.5 2.5 1.1875 0.5625 0.375 0.9375 1.1875 1.375 3.4375 2.875 1.8125 1 0.25 0.625 1.1875 1.6875 1.5625 1.0625 0.4375 0.625 1.5 0.875 0.6875 1.125 0.3125 0.9375 0.75 0.4375 0.5 0.1875 1.6875
"a" 1.75 1.75 1.8125 2.375 1 1.5625 1.4375 1.75 1.625 1.5 1.375 1.625 1.875 1.375 2.0625 1.8125 1.3125 0.9375 1.125 2.125 1.3125 2.1875 1.4375 1.5625 1.25 2.25 1.9375 1.375 0.6875 1.375 1.5 1.25 0.9375 1 1.1875 1.625 1.625 1.875 1.4375 1.875 1.5 1.875 1.125 1.125 1.375 1.5 1.6875 1.1875 1.4375 1.625 1 1.625 1.25 1.4375 1.3125 1.375 0.9375 1.625 1.8125 1.5 1.25 1.3125 0.9375 1.125 2.5 1.0625 1.3125 1.5 1.625 0.9375 1.375 0.9375 1.625 0.625 0.8125 1.5 1.125 1.875 1.9375 1.0625 2.375 1.1875 1.8125 1.625 2.1875 1.125 1.75 2.0625 1.125 1.25 1.5 1.5 1.75 1.25 1.75 1.375 1.625 1.375 1.4375 1.125 0.9375 1.9375 1.375 1.5 1.8125 1.875 2.1875 1.4375 1.125 2.125 1.5 1.1875 1.1875 1.1875 0.875 1.5625 1.1875 1.6875 1.125 1.5625 1.25 1.5 1.1875 1.625 1.5625 1.4375 2.3125 1.5 1.5 2.25 1.6875 1.6875 2.1875 0.9375 1.5625 1.75 1.6875 1.125 2 1.625 1.25 1.8125 1.5 0.8125 1.6875 1.9375 2.1875 2.3125
"in" 1.375 1.75 1.875 1.375 1.4375 1.25 2.0625 2.125 1.875 1.3125 1.25 1.75 0.8125 1.9375 1.375 1.5 0.625 1.1875 1.125 1.0625 1.3125 2.0625 1 2.1875 1.5 1.4375 1.8125 1.5 0.875 1.4375 1 1.9375 1.5625 1.1875 1.875 1.3125 1.6875 2 1.625 2.0625 2.0625 1.6875 1.6875 1.3125 1.5 0.8125 1.4375 1.75 1.4375 2 2 1.6875 1.875 1.625 2.125 1.5 2.125 1.6875 2.125 1.9375 1.75 2.125 1.8125 1.5625 1.0625 1.625 1.5625 1.125 1.625 1.5 2 1.25 1.6875 1.75 1.9375 1.375 2.1875 1.625 1.25 1.375 1.5 1.5625 1.75 2 1.25 1.0625 1.4375 1.3125 1.0625 2.1875 1.8125 1.125 1.375 1.375 1.25 2.0625 1.375 1.75 1.5625 1.5 2.3125 1.6875 1.8125 1.75 1.4375 1.625 1.5625 1.3125 2.25 1.75 1.375 1.1875 1 1.4375 1.5 1.25 1.3125 1.875 1.375 1.3125 1.5625 1.1875 1.6875 1.875 1.5625 1.0625 1.375 1.5 1.5625 1.125 1.625 0.9375 1.625 1.3125 1.25 1.6875 1.25 1.5625 1.75 1 1.5 1.125 1.9375 2 2.0625 1.6875 2.3125 1.6875
"her" 0.1875 0.1875 3.3125 0.9375 0.0625 0 1.125 1.75 0.125 1.9375 0.5 2.875 0.8125 0.25 0 1.6875 2.25 0.625 0.6875 4.3125 3.375 0.4375 1.0625 2.125 0.9375 3.375 5.125 2.875 1.375 3 2.25 4.5625 1.5 1.8125 1.625 1.4375 3.0625 1.5625 1.625 1.5 0.75 1.375 2.4375 1.125 0.25 0.1875 1.1875 1.5625 1.9375 2.625 1.0625 0.3125 0.3125 0.25 0 0.125 0.6875 0.5 0 1 0.125 0.75 0.625 1.0625 1.9375 0.125 3.8125 2.5 1.25 0.1875 1.375 0.5625 0.5 1.4375 0.0625 1.6875 1.4375 4.125 1.75 2.4375 2.1875 3.8125 1.6875 2.8125 2.125 2.5625 0.0625 0.0625 0.125 1.1875 3 0.6875 0.1875 0.125 0.25 0.4375 1.5 1.25 2.0625 0.8125 1.0625 1.125 0.375 0.5 0 0.4375 0 0.1875 0.25 0.1875 0.0625 0.6875 1.9375 1.0625 0.6875 0.625 0.75 1.625 2.25 3.0625 1.625 3.25 2.125 0.375 2 1.125 0.9375 1.125 1.1875 0.0625 0.1875 0.625 1 2.4375 2.25 2 1.8125 1.9375 3.0625 2.1875 3.5625 2.6875 3.125 3.3125 1.625 2.6875 3.4375 1.875
"was" 1.0625 2.125 2.1875 2.5625 1.3125 1.1875 2 2 1.3125 2 1.625 1.375 1.0625 1.5625 0.75 1 1.9375 0.875 0.5 1.375 1.5625 0.875 1.75 1.625 2.1875 1.4375 1.75 1.75 1.3125 1.4375 1.6875 1.125 0.8125 0.9375 1.5 0.5 0.9375 1.3125 2.0625 1.25 1.875 1.25 1.3125 1.0625 0.875 1.3125 1.5625 0.5 1.3125 1.0625 1.3125 1 1.375 0.8125 1.4375 1.3125 0.9375 1.375 1.6875 1.1875 1.75 1 1.75 0.8125 1.5 1.6875 1.5625 1.375 1.1875 1 0.875 1.5625 1.1875 1.1875 0.625 1 1.375 2.0625 1.125 1.625 2.5 1.6875 1.125 0.875 0.75 1.75 1.125 1.1875 1.5 1.375 0.9375 1.375 0.9375 0.9375 1.5 1.5625 1.3125 0.5625 0.9375 0.625 0.9375 0.9375 0.375 1 1.3125 1.375 2 0.8125 1.125 0.5625 0.4375 1.6875 1.8125 1.0625 1.3125 0.9375 1.625 1.3125 0.4375 0.8125 1.1875 1.5625 1.25 1.1875 1 0.75 1.3125 1.3125 1.1875 2.0625 2.0625 1.9375 0.9375 1.25 1.125 1.75 0.8125 0.9375 1.3125 1.8125 1.1875 0.9375 0.8125 1.375 1.0625 0.4375 1.0625 0.9375
"his" 0.0625 3.8125 0.1875 0.6875 2.25 2.9375 2.375 2 1.5 2.5 2.5 0.3125 1.4375 2.25 1.5 1.4375 1.5 1.4375 1.1875 0.3125 1 1.6875 4.1875 2.375 1.6875 1.5 1.4375 1.9375 1.9375 1.5625 1.25 0.625 0.25 0.75 1.625 0.375 0.1875 0.5625 1.875 1 1.6875 0.5625 0.8125 0.6875 1.0625 1.375 0.25 1.8125 0.3125 0.4375 1.125 0.125 1.3125 0.4375 1.125 0.4375 1.875 0.6875 2.0625 0.8125 0.9375 1.125 0.0625 0.5625 0.75 0.75 0.5 1.75 0.0625 0.4375 2.25 0.5625 0.3125 0.5 0.375 0.5625 0.5 0.6875 0.625 0.1875 1 0.5625 0.125 0 0 0.3125 0.0625 0.8125 1.3125 1 0.9375 1.25 1 0.8125 2.0625 1.3125 0.375 2.0625 0.8125 0.125 0.0625 1.5625 0.125 0.1875 0.375 0.4375 0.0625 0.6875 0.1875 0.6875 1.5 1.5625 2.625 2.1875 2.3125 1.125 2.9375 2 0.625 1 0.25 0.375 0.8125 2.1875 1 0.1875 0.75 1.3125 1.625 3.125 2.25 1.3125 0.9375 0.75 1.0625 2.5 2.5625 1.4375 1.4375 0.9375 1.4375 0.9375 2.0625 0.4375 1.3125 1.4375 0.3125 0.6875
